<TICKER>,<PER>,<DATE>,<TIME>,Open,High,Low,Close,Volume
US1.AMZN,60,20120614,010000,214.7300000,214.7380000,214.7300000,214.7300000,64698
US1.AMZN,60,20120614,180000,215.0000000,216.1600000,214.0400000,215.8672000,321159
US1.AMZN,60,20120614,190000,215.8600000,216.5000000,215.2100000,215.8500000,406579
US1.AMZN,60,20120614,200000,215.8500000,216.4000000,215.7000000,215.7000000,306666
US1.AMZN,60,20120614,210000,215.7101000,216.2500000,215.7100000,215.8400000,110934
US1.AMZN,60,20120614,220000,215.8200000,215.8900000,214.0500000,214.2600000,416748
US1.AMZN,60,20120614,230000,214.2500000,214.3553000,212.5600000,212.6301000,372120
US1.AMZN,60,20120615,000000,212.7200000,215.8000000,212.6400000,214.3900000,936799
US1.AMZN,60,20120615,010000,214.4500000,214.4500000,214.4500000,214.4500000,32681
US1.AMZN,60,20120615,180000,214.9500000,215.8700000,214.4600000,215.8700000,825554
US1.AMZN,60,20120615,190000,215.8550000,217.2500000,215.7100000,217.2500000,635726
US1.AMZN,60,20120615,200000,217.2400000,217.5000000,216.5000000,216.5100000,251259
US1.AMZN,60,20120615,210000,216.5000000,216.8600000,216.3300000,216.7800000,120235
US1.AMZN,60,20120615,220000,216.8600000,217.2600000,216.6139000,217.2100000,121315
US1.AMZN,60,20120615,230000,217.2000000,217.5000000,216.7900000,217.2500000,161182
US1.AMZN,60,20120616,000000,217.2900000,219.3300000,217.2200000,218.3500000,899124
US1.AMZN,60,20120616,010000,218.3500000,218.6700000,218.3500000,218.3500000,415948
US1.AMZN,60,20120618,180000,217.3000000,220.5500000,216.7300000,219.3800000,622815
US1.AMZN,60,20120618,190000,219.2700000,221.5000000,219.2300000,220.7700000,488376
US1.AMZN,60,20120618,200000,220.7200000,222.3000000,220.0700000,221.8900000,421218
US1.AMZN,60,20120618,210000,221.8100000,222.6500000,221.4000000,222.3100000,297945
US1.AMZN,60,20120618,220000,222.2000000,223.1700000,221.7500000,222.9900000,285816
US1.AMZN,60,20120618,230000,223.0400000,223.3000000,222.3600000,222.8700000,301211
US1.AMZN,60,20120619,000000,222.8000000,223.7600000,222.5101000,222.7000000,646100
US1.AMZN,60,20120619,010000,222.6600000,222.6600000,222.6600000,222.6600000,234487
US1.AMZN,60,20120619,180000,223.2600000,224.4800000,221.6600000,222.9700000,553312
US1.AMZN,60,20120619,190000,222.9700000,224.2400000,222.9000000,223.8500000,457721
US1.AMZN,60,20120619,200000,223.8700000,224.9000000,223.3400000,224.6700000,299549
US1.AMZN,60,20120619,210000,224.7100000,224.9378000,224.2500000,224.8100000,151634
US1.AMZN,60,20120619,220000,224.8100000,225.2000000,224.6100000,224.8100000,256634
US1.AMZN,60,20120619,230000,224.8000000,224.8700000,223.2200000,223.9500000,314409
