<TICKER>,<PER>,<DATE>,<TIME>,Open,High,Low,Close,Volume
US1.AAPL,60,20120614,010000,572.1500000,572.2800000,572.1500000,572.1600000,307226
US1.AAPL,60,20120614,180000,571.2800000,573.0000000,568.5800000,572.3500000,144765
US1.AAPL,60,20120614,190000,572.2100000,572.6300000,569.2100000,572.2400000,131249
US1.AAPL,60,20120614,200000,572.2600000,573.4500000,571.2600000,572.0100000,111056
US1.AAPL,60,20120614,210000,571.9000000,572.9950000,571.6700000,572.6800000,67201
US1.AAPL,60,20120614,220000,572.6700000,572.7100000,569.6700000,570.7100000,124814
US1.AAPL,60,20120614,230000,570.6400000,571.1100000,567.3300000,567.4300000,152114
US1.AAPL,60,20120615,000000,567.4100000,572.7100000,567.2600000,571.7800000,252187
US1.AAPL,60,20120615,010000,571.5600000,571.5600000,571.5300000,571.5300000,65946
US1.AAPL,60,20120615,180000,570.5700000,572.2800000,569.5900000,572.0900000,112993
US1.AAPL,60,20120615,190000,572.2300000,572.6200000,569.8500000,570.9600000,116887
US1.AAPL,60,20120615,200000,571.1300000,572.4400000,570.3100000,571.3300000,99282
US1.AAPL,60,20120615,210000,571.4000000,571.8000000,570.3500000,570.5000000,54307
US1.AAPL,60,20120615,220000,570.6000000,571.2300000,569.8800000,570.2800000,61349
US1.AAPL,60,20120615,230000,570.3300000,570.7100000,569.8100000,570.2300000,73581
US1.AAPL,60,20120616,000000,570.2000000,574.5900000,570.1300000,574.0800000,219764
US1.AAPL,60,20120616,010000,574.1300000,574.1300000,573.9540000,574.1300000,630467
US1.AAPL,60,20120618,180000,570.9700000,579.2800000,570.4000000,577.1500000,184204
US1.AAPL,60,20120618,190000,576.9000000,583.8000000,576.9000000,582.2900000,279279
US1.AAPL,60,20120618,200000,582.3700000,583.4000000,580.5500000,582.9500000,155899
US1.AAPL,60,20120618,210000,582.8600000,583.2300000,581.8300000,582.9300000,71011
US1.AAPL,60,20120618,220000,583.0000000,585.9500000,582.6000000,585.9500000,187305
US1.AAPL,60,20120618,230000,586.0000000,587.8850000,584.9000000,586.2700000,185993
US1.AAPL,60,20120619,000000,586.1800000,587.1200000,584.6800000,585.8000000,179184
US1.AAPL,60,20120619,010000,585.8100000,585.8100000,585.7800000,585.7800000,197623
US1.AAPL,60,20120619,180000,583.3900000,589.4700000,583.3400000,586.7800000,230862
US1.AAPL,60,20120619,190000,586.7700000,587.2900000,584.3200000,586.2500000,198637
US1.AAPL,60,20120619,200000,586.4100000,588.6800000,585.0000000,587.6500000,110659
US1.AAPL,60,20120619,210000,587.5700000,588.2900000,587.1400000,587.8000000,56195
US1.AAPL,60,20120619,220000,587.7200000,590.0000000,587.3400000,588.8700000,134255
US1.AAPL,60,20120619,230000,588.8300000,589.6100000,585.8300000,587.9100000,168013
US1.AAPL,60,20120620,000000,587.9900000,589.1800000,586.5900000,587.2500000,134421
US1.AAPL,60,20120620,010000,587.4100000,587.4100000,587.3400000,587.4100000,176937
US1.AAPL,60,20120620,180000,588.0100000,589.2100000,586.0600000,586.8500000,115090
US1.AAPL,60,20120620,190000,586.9500000,587.0000000,583.2700000,584.2900000,219765
US1.AAPL,60,20120620,200000,584.2000000,585.0000000,583.4000000,584.1900000,73523
US1.AAPL,60,20120620,210000,584.0400000,586.4200000,580.8400000,585.6950000,226702
US1.AAPL,60,20120620,220000,585.7800000,588.2500000,584.2500000,586.7300000,159014
US1.AAPL,60,20120620,230000,586.5100000,586.7700000,583.0000000,583.5200000,133079
US1.AAPL,60,20120621,000000,583.7300000,585.7600000,582.0600000,585.7600000,153573
US1.AAPL,60,20120621,010000,585.7500000,585.7500000,585.7410000,585.7410000,476000
US1.AAPL,60,20120621,180000,585.6900000,587.7600000,584.7600000,585.8900000,76290
US1.AAPL,60,20120621,190000,585.9650000,588.1500000,584.2600000,587.8100000,155635
US1.AAPL,60,20120621,200000,587.8200000,587.9900000,584.3300000,584.8300000,139965
US1.AAPL,60,20120621,210000,584.8600000,585.1900000,582.2800000,583.3000000,115627
US1.AAPL,60,20120621,220000,583.4100000,584.2900000,581.6900000,582.9950000,122892
US1.AAPL,60,20120621,230000,582.9500000,583.2700000,580.4200000,581.9900000,157808
US1.AAPL,60,20120622,000000,581.7500000,581.8800000,577.4400000,577.5900000,286477
US1.AAPL,60,20120622,180000,579.0400000,580.0800000,577.0400000,578.0800000,170080
US1.AAPL,60,20120622,190000,578.3000000,579.9900000,575.5100000,576.0000000,193712
US1.AAPL,60,20120622,200000,575.9300000,578.2000000,575.6700000,577.3600000,107612
US1.AAPL,60,20120622,210000,577.3400000,578.1700000,576.4900000,577.8400000,79382
US1.AAPL,60,20120622,220000,577.7600000,578.4400000,576.8100000,578.4400000,84144
US1.AAPL,60,20120622,230000,578.5000000,580.1800000,578.4000000,580.1000000,93416
US1.AAPL,60,20120623,000000,580.1100000,582.1300000,579.0600000,581.9400000,212972
US1.AAPL,60,20120623,010000,581.9100000,582.1000000,581.9100000,582.1000000,15716
US1.AAPL,60,20120625,180000,577.7300000,579.7500000,576.0000000,576.9700000,102890
US1.AAPL,60,20120625,190000,577.1200000,577.6600000,573.7900000,575.0000000,185262
US1.AAPL,60,20120625,200000,575.2800000,575.2800000,570.8200000,572.0500000,533450
US1.AAPL,60,20120625,210000,571.9800000,572.8100000,571.4300000,572.5600000,89940
US1.AAPL,60,20120625,220000,572.6000000,574.5100000,571.3000000,573.2800000,98502
US1.AAPL,60,20120625,230000,573.2300000,574.2000000,570.4100000,570.8500000,127286
US1.AAPL,60,20120626,000000,570.7900000,572.9100000,570.4000000,570.8100000,163005
US1.AAPL,60,20120626,010000,570.7650000,570.9900000,570.7200000,570.7650000,287478
US1.AAPL,60,20120626,180000,571.3300000,573.7200000,568.8800000,572.3200000,160391
US1.AAPL,60,20120626,190000,572.3100000,574.4900000,569.8000000,570.0000000,192300
US1.AAPL,60,20120626,200000,569.8500000,571.4600000,569.0000000,570.8300000,115297
US1.AAPL,60,20120626,210000,571.0400000,571.1100000,569.4300000,570.5200000,67825
US1.AAPL,60,20120626,220000,570.5200000,570.7000000,567.3700000,567.3700000,102875
US1.AAPL,60,20120626,230000,567.5100000,571.9300000,567.4100000,570.5600000,138931
US1.AAPL,60,20120627,000000,570.6900000,572.8000000,570.5000000,572.1100000,115219
US1.AAPL,60,20120627,010000,572.1200000,572.1700000,572.0200000,572.0250000,147908
US1.AAPL,60,20120627,180000,575.4700000,576.4300000,573.3400000,574.6300000,209093
US1.AAPL,60,20120627,190000,574.6900000,576.6500000,574.6500000,576.0000000,130034
US1.AAPL,60,20120627,200000,576.0800000,576.1700000,574.7400000,575.4700000,76468
US1.AAPL,60,20120627,210000,575.5500000,575.9200000,574.5800000,575.0500000,62936
US1.AAPL,60,20120627,220000,575.0550000,575.2300000,571.9400000,572.5600000,76779
US1.AAPL,60,20120627,230000,572.7400000,574.0800000,572.1700000,573.1100000,66986
US1.AAPL,60,20120628,000000,573.3500000,575.0000000,573.0200000,574.4500000,96902
US1.AAPL,60,20120628,010000,574.5000000,574.5000000,574.5000000,574.5000000,143168
US1.AAPL,60,20120628,180000,571.6400000,574.0000000,570.6700000,572.3100000,107401
US1.AAPL,60,20120628,190000,572.1000000,572.7500000,568.6700000,569.8000000,166084
US1.AAPL,60,20120628,200000,569.5600000,570.3700000,568.5700000,569.1300000,113946
US1.AAPL,60,20120628,210000,569.1500000,570.0000000,567.9900000,569.0000000,89846
US1.AAPL,60,20120628,220000,568.9100000,569.0000000,566.2800000,567.9200000,109669
US1.AAPL,60,20120628,230000,568.0800000,568.2800000,565.6900000,566.3000000,106946
US1.AAPL,60,20120629,000000,566.2200000,569.5000000,566.1200000,568.8300000,226085
US1.AAPL,60,20120629,010000,569.0100000,569.0500000,568.7690000,569.0500000,255450
US1.AAPL,60,20120629,180000,577.9400000,577.9700000,574.3300000,575.7800000,211479
US1.AAPL,60,20120629,190000,575.7800000,579.1100000,575.7800000,578.0800000,231665
US1.AAPL,60,20120629,200000,578.1000000,580.3500000,577.7200000,580.0400000,168322
US1.AAPL,60,20120629,210000,580.1400000,580.8400000,579.4200000,579.7500000,130178
US1.AAPL,60,20120629,220000,579.7600000,580.5300000,579.6800000,580.3600000,67428
US1.AAPL,60,20120629,230000,580.3000000,583.7000000,580.2200000,583.2600000,168857
US1.AAPL,60,20120630,000000,583.2400000,584.0000000,581.8600000,583.8700000,206348
US1.AAPL,60,20120630,010000,584.0000000,584.0000000,583.7000000,584.0000000,702195
US1.AAPL,60,20120702,180000,584.4900000,591.8500000,583.7100000,590.3200000,171369
US1.AAPL,60,20120702,190000,590.2300000,593.4700000,587.1100000,591.5700000,293679
US1.AAPL,60,20120702,200000,591.2300000,592.4900000,590.2500000,590.3400000,181861
US1.AAPL,60,20120702,210000,590.1700000,591.3100000,588.5000000,590.6700000,129150
US1.AAPL,60,20120702,220000,590.6700000,591.9200000,590.0000000,591.1400000,86703
US1.AAPL,60,20120702,230000,591.0000000,591.8400000,590.4600000,591.4950000,88737
US1.AAPL,60,20120703,000000,591.4500000,592.7500000,590.2600000,592.5200000,143148
US1.AAPL,60,20120703,010000,592.5260000,592.7100000,592.3600000,592.5200000,154443
US1.AAPL,60,20120703,180000,594.8800000,597.3600000,594.0000000,597.2400000,184408
US1.AAPL,60,20120703,190000,597.1300000,599.4450000,596.6600000,598.7300000,257884
US1.AAPL,60,20120703,200000,598.8500000,600.0000000,598.5700000,598.9200000,206964
US1.AAPL,60,20120703,210000,599.0000000,599.5600000,598.4000000,599.4000000,141387
US1.AAPL,60,20120703,220000,599.4100000,599.6000000,599.1000000,599.3300000,159823
US1.AAPL,60,20120703,230000,599.4100000,599.5500000,599.3300000,599.3300000,8481
US1.AAPL,60,20120704,000000,599.3400000,599.5000000,599.3400000,599.4500000,5198
US1.AAPL,60,20120705,180000,600.5100000,606.7900000,599.6900000,605.3100000,270095
US1.AAPL,60,20120705,190000,605.2400000,610.3500000,603.8800000,610.0700000,252697
US1.AAPL,60,20120705,200000,610.0300000,614.1900000,609.8100000,611.5000000,238926
US1.AAPL,60,20120705,210000,611.4300000,612.8900000,611.1700000,612.2400000,103804
US1.AAPL,60,20120705,220000,612.2700000,614.3400000,611.7900000,614.0600000,150406
US1.AAPL,60,20120705,230000,614.0200000,614.1000000,610.6700000,611.1900000,129294
US1.AAPL,60,20120706,000000,611.0800000,612.5800000,609.7700000,609.7700000,200668
US1.AAPL,60,20120706,010000,609.7800000,609.9400000,609.7800000,609.9400000,207891
US1.AAPL,60,20120706,180000,607.2500000,608.4400000,601.8100000,604.4600000,243170
US1.AAPL,60,20120706,190000,604.5100000,605.3900000,602.7300000,603.7700000,294260
US1.AAPL,60,20120706,200000,603.6300000,604.1100000,601.6000000,602.8400000,196761
US1.AAPL,60,20120706,210000,602.7900000,604.7700000,602.0300000,604.7700000,147208
US1.AAPL,60,20120706,220000,604.7600000,605.5000000,603.2300000,603.6000000,108962
US1.AAPL,60,20120706,230000,603.6500000,605.0600000,602.1000000,604.6700000,127911
US1.AAPL,60,20120707,000000,604.6000000,608.2600000,603.8000000,605.9800000,325908
US1.AAPL,60,20120707,010000,606.2000000,606.2300000,605.8800000,605.8800000,138942
US1.AAPL,60,20120709,180000,605.5900000,611.3500000,604.3500000,609.5600000,207717
US1.AAPL,60,20120709,190000,609.5000000,612.8500000,607.9400000,612.7500000,219542
US1.AAPL,60,20120709,200000,612.6100000,612.6200000,609.7200000,610.0800000,96472
US1.AAPL,60,20120709,210000,610.0200000,612.0000000,609.9800000,611.9000000,130686
US1.AAPL,60,20120709,220000,611.8000000,613.7400000,611.4800000,613.1600000,103142
US1.AAPL,60,20120709,230000,613.0100000,613.4800000,610.1100000,611.1500000,114705
US1.AAPL,60,20120710,000000,611.1100000,613.8500000,611.0700000,613.8400000,174425
US1.AAPL,60,20120710,010000,613.8900000,613.8900000,613.8900000,613.8900000,291010
US1.AAPL,60,20120710,180000,617.9700000,619.8500000,616.8300000,617.8000000,243091
US1.AAPL,60,20120710,190000,617.8800000,618.7700000,614.5400000,615.0500000,281395
US1.AAPL,60,20120710,200000,614.7800000,615.5100000,612.0000000,614.6700000,218011
US1.AAPL,60,20120710,210000,614.7300000,615.7000000,612.7700000,614.5600000,111421
US1.AAPL,60,20120710,220000,614.7700000,615.8600000,613.3800000,614.1800000,95074
US1.AAPL,60,20120710,230000,614.0000000,614.0900000,607.1200000,608.0000000,272964
US1.AAPL,60,20120711,000000,608.0300000,610.2200000,605.4100000,608.0600000,222926
US1.AAPL,60,20120711,010000,608.1500000,608.2100000,608.1500000,608.2100000,200300
US1.AAPL,60,20120711,180000,606.2250000,607.4600000,602.5000000,605.5000000,173754
US1.AAPL,60,20120711,190000,605.5400000,607.3300000,601.7500000,602.0400000,172015
US1.AAPL,60,20120711,200000,602.1000000,604.3800000,601.9000000,603.5000000,108833
US1.AAPL,60,20120711,210000,603.7600000,605.9100000,602.3400000,605.8100000,100324
US1.AAPL,60,20120711,220000,605.6600000,605.7500000,603.0000000,604.5600000,108942
US1.AAPL,60,20120711,230000,604.5950000,605.2900000,597.2200000,598.1900000,294562
US1.AAPL,60,20120712,000000,598.2600000,605.5900000,598.2600000,604.0200000,261796
US1.AAPL,60,20120712,010000,604.3100000,604.4300000,604.0960000,604.4300000,2086686
US1.AAPL,60,20120712,180000,600.2400000,602.1800000,596.5000000,597.9300000,189464
US1.AAPL,60,20120712,190000,597.7900000,598.1400000,592.7100000,595.4100000,295269
US1.AAPL,60,20120712,200000,595.3500000,599.6500000,595.2300000,599.2100000,200002
US1.AAPL,60,20120712,210000,599.2300000,599.8000000,597.6800000,598.0300000,90887
US1.AAPL,60,20120712,220000,598.0500000,603.4300000,598.0500000,600.4900000,177894
US1.AAPL,60,20120712,230000,600.5000000,602.8600000,599.7600000,602.7100000,116734
US1.AAPL,60,20120713,000000,602.6800000,602.8600000,598.6600000,598.7400000,192714
US1.AAPL,60,20120713,010000,598.9000000,599.0000000,598.9000000,598.9000000,115353
US1.AAPL,60,20120713,180000,602.9500000,604.4900000,600.6600000,603.1300000,144819
US1.AAPL,60,20120713,190000,603.1400000,603.8500000,601.5000000,602.5400000,126497
US1.AAPL,60,20120713,200000,602.5900000,602.8000000,601.3000000,602.8000000,89343
US1.AAPL,60,20120713,210000,602.7900000,605.0000000,602.7900000,604.3700000,99164
US1.AAPL,60,20120713,220000,604.3600000,606.4200000,604.3400000,605.4600000,90774
US1.AAPL,60,20120713,230000,605.4900000,606.2800000,604.9900000,606.2800000,77232
US1.AAPL,60,20120714,000000,606.3300000,607.1300000,604.6300000,604.8900000,248462
