<DATE>,<TIME>,Open,High,Low,Close,Volume
20120614,100000,561.3000000,562.6600000,556.5400000,562.4300000,278264
20120614,110000,562.1100000,562.5500000,559.4000000,561.6800000,258089
20120614,120000,561.6900000,565.0700000,561.0000000,563.4260000,326705
20120614,130000,563.2602000,563.6800000,561.7200000,561.7300000,140638
20120614,140000,561.8700000,562.1900000,558.9100000,559.6040000,224815
20120614,150000,559.6500000,560.3420000,556.5201000,556.8100000,210207
20120614,160000,556.7150000,560.8999000,556.6100000,559.1000000,623357
20120615,100000,560.0200000,560.3800000,557.0900000,559.8700000,682830
20120615,110000,559.7700000,560.7200000,558.0222000,559.1200000,406333
20120615,120000,559.0600000,560.5000000,558.4523000,558.6900000,273108
20120615,130000,558.7000000,559.0900000,558.0300000,558.6700000,114538
20120615,140000,558.8600000,560.1600000,558.7500000,559.7700000,119844
20120615,150000,559.6900000,560.2700000,558.5600000,559.3200000,183673
20120615,160000,559.3800000,564.5200000,558.8000000,564.5000000,616589
20120618,100000,562.5000000,565.4800000,559.2500000,565.4800000,333175
20120618,110000,565.2200000,571.7000000,565.0000000,569.2700000,359961
20120618,120000,569.6247000,569.9800000,566.1500000,569.9000000,238561
20120618,130000,569.8900000,569.9000000,567.5600000,568.6500000,168255
20120618,140000,568.6700000,573.4500000,568.4100000,573.1500000,185682
20120618,150000,573.3900000,574.2000000,572.3722000,573.0000000,209586
20120618,160000,573.0000000,574.2100000,570.6100000,570.7780000,615291
20120619,100000,574.7800000,579.3400000,573.1201000,579.2640000,344986
20120619,110000,579.3200000,579.7174000,577.4700000,579.1100000,408741
20120619,120000,579.1900000,579.5700000,577.9500000,579.1400000,193752
20120619,130000,579.1400000,581.3682000,578.9318000,581.3682000,178609
20120619,140000,581.3382000,584.2800000,580.7200000,582.7400000,239299
20120619,150000,582.9200000,582.9200000,580.7500000,582.3000000,233684
20120619,160000,582.3600000,583.2600000,580.3800000,581.5000000,346996
20120620,100000,579.4900000,580.0000000,577.3400000,578.0300000,366957
20120620,110000,577.8900000,579.3600000,576.1600000,578.7000000,386641
20120620,120000,578.7800000,579.4700000,575.9300000,575.9300000,262785
20120620,130000,575.9000000,578.7500000,573.5100000,578.5480000,374857
20120620,140000,578.5400000,579.5000000,576.8100000,577.7200000,209432
20120620,150000,577.9300000,578.6900000,574.0400000,574.6400000,230729
20120620,160000,574.8700000,577.4400000,573.5600000,577.4400000,331897
20120621,100000,579.4000000,579.8400000,575.2800000,575.7600000,178769
20120621,110000,575.6600000,576.4100000,574.0000000,575.4800000,271848
20120621,120000,575.4000000,575.4000000,571.3318000,573.0000000,304250
20120621,130000,572.8700000,572.9900000,568.8600000,569.6100000,228957
20120621,140000,569.5400000,569.9600000,567.5600000,568.2600000,163478
20120621,150000,568.2000000,569.0200000,566.5750000,568.2300000,182770
20120621,160000,568.2700000,568.5900000,563.7300000,565.2100000,577738
20120622,100000,568.1900000,569.4300000,566.6900000,568.3700000,260998
20120622,110000,568.4100000,571.1200000,565.8200000,567.5511000,293746
20120622,120000,567.5022000,569.5600000,567.4300000,568.9400000,154960
20120622,130000,568.9000000,569.4100000,568.2801000,569.1300000,150919
20120622,140000,568.9700000,569.2100000,567.4700000,568.4100000,129447
20120622,150000,568.2500000,570.3800000,568.0400000,569.8300000,207064
20120622,160000,569.8000000,571.4700000,568.7700000,571.4700000,415404
20120625,100000,567.3300000,568.0925000,561.5500000,563.0600000,252614
20120625,110000,563.4100000,564.4400000,560.5120000,561.0900000,252001
20120625,120000,561.1200000,561.5100000,557.3500000,557.8900000,180570
20120625,130000,557.8872000,560.1000000,557.3500000,558.4600000,116603
20120625,140000,558.4500000,561.2600000,557.8800000,560.9300000,122726
20120625,150000,560.9500000,561.0750000,558.4500000,559.3350000,126966
20120625,160000,559.4500000,563.4300000,559.2900000,560.6900000,326451
20120626,100000,563.3200000,565.6282000,562.7600000,564.1000000,199415
20120626,110000,564.1000000,566.6000000,561.1000000,561.5200000,262645
20120626,120000,561.5300000,563.3100000,559.4800000,562.7511000,164893
20120626,130000,562.7700000,565.3500000,562.5400000,564.1700000,90940
20120626,140000,564.0300000,564.9700000,563.1401000,564.4200000,103151
20120626,150000,564.3800000,566.0250000,563.0100000,564.5300000,154532
20120626,160000,564.5200000,566.1300000,564.5000000,565.1600000,239258
20120627,100000,567.9900000,570.6200000,566.0200000,566.7800000,188478
20120627,110000,566.7500000,572.8400000,566.5100000,572.3250000,351922
20120627,120000,572.4400000,573.9880000,572.1100000,572.1100000,193396
20120627,130000,572.0800000,573.6600000,572.0100000,572.5000000,93507
20120627,140000,572.5000000,572.6280000,568.8100000,569.3000000,234873
20120627,150000,569.3500000,570.3700000,568.4490000,568.6220000,154151
20120627,160000,568.7100000,571.5000000,568.5200000,569.3100000,381119
20120628,100000,565.9000000,566.2300000,560.1300000,563.7300000,327198
20120628,110000,563.7200000,564.4100000,559.7500000,561.0960000,314054
20120628,120000,561.0400000,563.3600000,560.6400000,560.7300000,174609
20120628,130000,560.6100000,561.2482000,560.1600000,560.6800000,90977
20120628,140000,560.5900000,560.7000000,558.0400000,559.2400000,249186
20120628,150000,559.3600000,560.5700000,557.2100000,560.0400000,178561
20120628,160000,560.0200000,565.0000000,559.3100000,564.2000000,451288
20120629,100000,574.9600000,575.2600000,572.2000000,574.5100000,499134
20120629,110000,574.5000000,576.7400000,574.3700000,575.5700000,371145
20120629,120000,575.5600000,576.6800000,575.0000000,576.5400000,178228
20120629,130000,576.5200000,577.9900000,575.9300000,577.6200000,146173
20120629,140000,577.6300000,577.8800000,577.1000000,577.4300000,112360
20120629,150000,577.5600000,579.0000000,577.4700000,578.7800000,204272
20120629,160000,578.9700000,580.1300000,576.3200000,580.0600000,607886
20120702,100000,580.2100000,582.9998000,579.0000000,581.3900000,297002
20120702,110000,581.3900000,581.9700000,578.4900000,580.1700000,345321
20120702,120000,580.1000000,580.4490000,576.6500000,577.5000000,237616
20120702,130000,577.6200000,579.1700000,576.5000000,579.1100000,118935
20120702,140000,578.9900000,580.1582000,578.4300000,579.4600000,93660
20120702,150000,579.6100000,580.4400000,578.6701000,578.6900000,160836
20120702,160000,578.8600000,580.5500000,577.9000000,580.4500000,302461
20120703,100000,580.0100000,582.8700000,578.0000000,582.5300000,197659
20120703,110000,582.8600000,587.2000000,582.8400000,586.4500000,353734
20120703,120000,586.3700000,588.4100000,585.5800000,585.9200000,268718
20120703,130000,585.7400000,587.8300000,585.4100000,587.8300000,275832
20120703,140000,587.8300000,587.9476000,585.0708000,587.7713000,74586
20120703,150000,587.8300000,587.8300000,585.5100000,585.5100000,1270
20120703,160000,586.7900000,587.0000000,586.7900000,587.0000000,413
20120705,100000,588.7600000,594.7400000,588.5400000,591.6800000,395512
20120705,110000,591.5500000,596.3100000,590.6620000,595.4950000,363800
20120705,120000,595.5100000,597.0800000,595.3500000,595.9800000,236541
20120705,130000,596.0000000,596.7200000,595.7100000,596.4700000,111569
20120705,140000,596.4800000,599.5800000,596.2618000,599.4800000,227843
20120705,150000,599.4700000,600.0600000,596.4800000,596.5800000,364621
20120705,160000,596.4200000,598.2500000,595.8710000,595.9300000,380431
20120706,100000,592.4500000,593.5200000,589.0800000,589.9700000,295277
20120706,110000,590.0000000,590.3000000,585.5600000,586.2800000,432760
20120706,120000,586.3200000,586.9599000,584.1500000,584.6000000,292951
20120706,130000,584.7600000,585.9400000,583.6500000,585.7700000,193579
20120706,140000,585.8700000,586.3200000,583.8400000,584.1000000,137560
20120706,150000,583.9600000,584.3100000,582.8200000,584.3100000,146261
20120706,160000,584.1800000,586.1700000,584.0600000,585.6100000,535099
