<TICKER>,<PER>,<DATE>,<TIME>,Open,High,Low,Close,Volume
US1.IBM,60,20120614,010000,193.1000000,193.1000000,193.1000000,193.1000000,695379
US1.IBM,60,20120614,180000,192.8900000,193.8200000,192.7900000,193.8200000,29313
US1.IBM,60,20120614,190000,193.8300000,194.8100000,193.6600000,194.8100000,61715
US1.IBM,60,20120614,200000,194.8000000,194.9800000,194.7100000,194.7100000,39756
US1.IBM,60,20120614,210000,194.6600000,194.8000000,194.3900000,194.6400000,56070
US1.IBM,60,20120614,220000,194.6500000,194.8500000,194.1100000,194.3600000,51166
US1.IBM,60,20120614,230000,194.3600000,194.6600000,193.8400000,193.9400000,46367
US1.IBM,60,20120615,000000,193.9000000,195.8000000,193.9000000,195.1400000,107404
US1.IBM,60,20120615,010000,194.9200000,195.1000000,194.9200000,195.1000000,307187
US1.IBM,60,20120615,180000,195.9400000,196.9500000,195.5000000,196.9300000,30241
US1.IBM,60,20120615,190000,196.9500000,197.3200000,196.7200000,196.9700000,67061
US1.IBM,60,20120615,200000,197.0200000,197.8100000,196.9101000,197.4500000,44309
US1.IBM,60,20120615,210000,197.4700000,197.5000000,197.1200000,197.3400000,47281
US1.IBM,60,20120615,220000,197.3700000,197.9800000,197.3500000,197.9700000,56236
US1.IBM,60,20120615,230000,197.9100000,198.6200000,197.8400000,198.3400000,67560
US1.IBM,60,20120616,000000,198.3500000,199.2500000,198.2100000,199.1400000,109604
US1.IBM,60,20120616,010000,199.1100000,199.1100000,199.1000000,199.1000000,676147
US1.IBM,60,20120618,180000,197.9800000,198.7000000,197.3400000,198.1000000,41568
US1.IBM,60,20120618,190000,198.1100000,199.6100000,198.0500000,198.6900000,58486
US1.IBM,60,20120618,200000,198.7600000,198.8900000,198.4050000,198.8200000,48959
US1.IBM,60,20120618,210000,198.8200000,199.0000000,198.5700000,198.6500000,65448
US1.IBM,60,20120618,220000,198.7700000,198.8000000,198.4300000,198.6100000,40791
US1.IBM,60,20120618,230000,198.6200000,198.9900000,198.2800000,198.4000000,49773
US1.IBM,60,20120619,000000,198.4500000,198.7600000,198.2100000,198.3400000,76409
US1.IBM,60,20120619,010000,198.3540000,198.3540000,198.2900000,198.2900000,178809
US1.IBM,60,20120619,180000,199.0100000,199.6400000,198.8400000,199.5000000,47226
US1.IBM,60,20120619,190000,199.4300000,199.6000000,198.9600000,199.1900000,85208
US1.IBM,60,20120619,200000,199.3600000,199.4400000,199.0200000,199.3200000,27506
US1.IBM,60,20120619,210000,199.3500000,199.7700000,199.3500000,199.7100000,53797
US1.IBM,60,20120619,220000,199.6600000,199.9800000,199.5700000,199.9300000,54363
US1.IBM,60,20120619,230000,199.9000000,199.9900000,199.2200000,199.5900000,60279
US1.IBM,60,20120620,000000,199.6100000,199.7100000,198.8800000,198.9500000,57964
US1.IBM,60,20120620,010000,198.9300000,198.9300000,198.9300000,198.9300000,292248
US1.IBM,60,20120620,180000,198.7000000,199.6700000,198.7000000,199.3400000,35719
US1.IBM,60,20120620,190000,199.2500000,199.6400000,198.9300000,199.5000000,69980
US1.IBM,60,20120620,200000,199.4300000,199.5900000,198.8300000,198.8300000,36742
US1.IBM,60,20120620,210000,198.7800000,199.3400000,197.6600000,198.9300000,36553
US1.IBM,60,20120620,220000,198.9800000,199.7400000,198.5400000,198.7790000,64645
US1.IBM,60,20120620,230000,198.7300000,198.7900000,197.5200000,198.0700000,72312
US1.IBM,60,20120621,000000,197.9900000,198.7400000,197.6200000,198.7400000,56096
US1.IBM,60,20120621,010000,198.7710000,198.7800000,198.7710000,198.7800000,178353
US1.IBM,60,20120621,180000,199.2400000,199.3600000,198.5600000,198.8000000,34296
US1.IBM,60,20120621,190000,198.7700000,198.7700000,197.2900000,197.7300000,59568
US1.IBM,60,20120621,200000,197.6600000,197.6600000,196.1400000,196.3300000,43541
US1.IBM,60,20120621,210000,196.3300000,196.3400000,194.8400000,195.3400000,85059
US1.IBM,60,20120621,220000,195.3100000,195.3700000,194.3700000,195.0300000,50520
US1.IBM,60,20120621,230000,195.0200000,195.1500000,194.1300000,194.3400000,63136
US1.IBM,60,20120622,000000,194.2900000,194.4000000,193.2300000,193.4300000,61676
US1.IBM,60,20120622,010000,193.3900000,193.3900000,193.3900000,193.3900000,302991
US1.IBM,60,20120622,180000,193.8000000,193.9400000,193.2700000,193.6400000,38066
US1.IBM,60,20120622,190000,193.9700000,194.6800000,193.9700000,194.4000000,55080
US1.IBM,60,20120622,200000,194.3700000,194.8500000,194.1500000,194.5500000,69126
US1.IBM,60,20120622,210000,194.5700000,194.6100000,193.5300000,193.5300000,71109
US1.IBM,60,20120622,220000,193.5350000,193.8600000,193.3200000,193.4800000,79145
US1.IBM,60,20120622,230000,193.5000000,193.8000000,193.4800000,193.4800000,62133
US1.IBM,60,20120623,000000,193.4900000,194.8700000,193.2300000,194.4600000,115347
US1.IBM,60,20120623,010000,193.7000000,193.7000000,193.7000000,193.7000000,2833426
US1.IBM,60,20120625,180000,192.3500000,192.8100000,191.9100000,192.6900000,24628
US1.IBM,60,20120625,190000,192.7000000,193.0400000,191.7100000,192.2300000,63356
US1.IBM,60,20120625,200000,192.2000000,193.0100000,192.1900000,192.5500000,105251
US1.IBM,60,20120625,210000,192.4300000,193.3000000,192.4300000,192.8800000,44134
US1.IBM,60,20120625,220000,192.8000000,192.9500000,192.5700000,192.6900000,84206
US1.IBM,60,20120625,230000,192.7100000,192.8600000,192.5100000,192.5100000,57794
US1.IBM,60,20120626,000000,192.5100000,193.3800000,192.4900000,192.8100000,65976
US1.IBM,60,20120626,010000,192.8300000,192.8600000,192.8300000,192.8600000,208031
US1.IBM,60,20120626,180000,193.5400000,193.6500000,192.3900000,192.3900000,34651
US1.IBM,60,20120626,190000,192.2200000,193.3900000,191.3300000,191.5700000,62564
US1.IBM,60,20120626,200000,191.5400000,191.8900000,190.7700000,191.4700000,65821
US1.IBM,60,20120626,210000,191.4700000,192.0800000,191.3000000,191.5450000,59763
US1.IBM,60,20120626,220000,191.5700000,191.6400000,191.0900000,191.1800000,58252
US1.IBM,60,20120626,230000,191.1500000,192.4200000,191.1500000,192.4100000,55403
US1.IBM,60,20120627,000000,192.4200000,192.7300000,192.0000000,192.0000000,74346
US1.IBM,60,20120627,010000,192.0000000,192.0000000,191.9500000,191.9500000,198387
US1.IBM,60,20120627,180000,192.6900000,192.7500000,190.9200000,192.2900000,32458
US1.IBM,60,20120627,190000,192.0950000,193.6700000,192.0000000,193.5300000,59408
US1.IBM,60,20120627,200000,193.5500000,193.5600000,192.8900000,193.2600000,52097
US1.IBM,60,20120627,210000,193.3000000,193.7000000,193.2400000,193.2586000,48024
US1.IBM,60,20120627,220000,193.2600000,193.3700000,192.7600000,192.9600000,71072
US1.IBM,60,20120627,230000,192.9200000,193.2900000,192.7100000,193.1100000,89145
US1.IBM,60,20120628,000000,193.1400000,193.5100000,192.7800000,193.0500000,66228
US1.IBM,60,20120628,010000,193.0000000,193.0000000,193.0000000,193.0000000,229215
US1.IBM,60,20120628,180000,191.2300000,192.0400000,190.7400000,191.1300000,46128
US1.IBM,60,20120628,190000,191.2000000,191.3200000,189.4600000,190.0500000,78108
US1.IBM,60,20120628,200000,190.0100000,190.7900000,189.8800000,190.4900000,34390
US1.IBM,60,20120628,210000,190.4550000,190.6700000,190.2000000,190.4300000,42900
US1.IBM,60,20120628,220000,190.3800000,190.4580000,189.4700000,189.8100000,79313
US1.IBM,60,20120628,230000,189.9000000,189.9000000,188.9100000,189.4900000,64806
US1.IBM,60,20120629,000000,189.4300000,191.6200000,189.4000000,191.4000000,133152
US1.IBM,60,20120629,010000,191.4000000,191.4000000,191.4000000,191.4000000,302041
US1.IBM,60,20120629,180000,194.8000000,194.8600000,192.4600000,193.9400000,52785
US1.IBM,60,20120629,190000,194.0700000,195.0500000,194.0700000,194.8100000,88305
US1.IBM,60,20120629,200000,194.7800000,194.9900000,194.5100000,194.9300000,73987
US1.IBM,60,20120629,210000,195.0000000,195.3800000,194.8900000,195.1100000,50599
US1.IBM,60,20120629,220000,195.1400000,195.2300000,194.7900000,195.2000000,44805
US1.IBM,60,20120629,230000,195.1900000,195.8100000,195.0800000,195.4900000,52741
US1.IBM,60,20120630,000000,195.4700000,195.5200000,195.0500000,195.5200000,132130
US1.IBM,60,20120630,010000,195.3600000,195.5800000,195.3000000,195.5800000,795241
US1.IBM,60,20120702,180000,196.2900000,197.1800000,195.6100000,196.3000000,25972
US1.IBM,60,20120702,190000,196.2800000,196.2800000,195.2100000,195.3900000,51592
US1.IBM,60,20120702,200000,195.4100000,195.5600000,195.0900000,195.2900000,70575
US1.IBM,60,20120702,210000,195.3000000,195.7400000,194.9500000,195.7400000,85490
US1.IBM,60,20120702,220000,195.6900000,195.8300000,195.3200000,195.5000000,91013
US1.IBM,60,20120702,230000,195.4600000,195.7600000,195.1500000,195.3100000,60921
US1.IBM,60,20120703,000000,195.2700000,195.8500000,194.9000000,195.7500000,64222
US1.IBM,60,20120703,010000,195.8300000,195.8300000,195.8300000,195.8300000,181027
US1.IBM,60,20120703,180000,195.4600000,196.2600000,195.2900000,196.1000000,35930
US1.IBM,60,20120703,190000,196.0900000,196.3100000,194.9500000,195.0700000,89192
US1.IBM,60,20120703,200000,195.1500000,196.0700000,195.1500000,195.4600000,49849
US1.IBM,60,20120703,210000,195.5200000,195.9100000,195.1300000,195.8900000,52466
US1.IBM,60,20120703,220000,195.9900000,196.1000000,195.8900000,195.9500000,106805
US1.IBM,60,20120703,230000,195.5000000,195.5000000,195.5000000,195.5000000,100
US1.IBM,60,20120705,180000,194.3800000,194.7400000,193.7100000,194.5900000,62150
US1.IBM,60,20120705,190000,194.5900000,195.3500000,194.5000000,195.1400000,81468
US1.IBM,60,20120705,200000,195.1400000,195.7800000,195.1400000,195.6100000,60283
US1.IBM,60,20120705,210000,195.5800000,196.3500000,195.5800000,196.3220000,48699
US1.IBM,60,20120705,220000,196.3170000,196.7100000,196.1800000,196.6800000,37286
US1.IBM,60,20120705,230000,196.7000000,196.8500000,195.8300000,195.8300000,59466
US1.IBM,60,20120706,000000,195.8200000,195.9100000,195.1800000,195.2600000,56371
US1.IBM,60,20120706,010000,195.2900000,195.2900000,195.2900000,195.2900000,107208
US1.IBM,60,20120706,180000,193.9200000,193.9200000,191.2800000,191.3400000,51042
US1.IBM,60,20120706,190000,191.3300000,191.7800000,190.5100000,190.7100000,66313
US1.IBM,60,20120706,200000,190.6900000,191.0100000,190.1600000,190.3600000,57834
US1.IBM,60,20120706,210000,190.3400000,190.6500000,189.7500000,190.3900000,54409
US1.IBM,60,20120706,220000,190.4100000,191.0800000,190.2800000,190.3500000,59598
US1.IBM,60,20120706,230000,190.3800000,190.5100000,190.0200000,190.5100000,46749
US1.IBM,60,20120707,000000,190.5200000,191.6700000,190.4800000,191.3800000,74339
US1.IBM,60,20120707,010000,191.3850000,191.4100000,191.3850000,191.4100000,259871
US1.IBM,60,20120709,180000,190.6600000,190.7700000,189.3600000,189.4250000,29545
US1.IBM,60,20120709,190000,189.3300000,189.4050000,188.0650000,188.9800000,83227
US1.IBM,60,20120709,200000,189.0200000,189.5200000,188.6600000,188.6600000,76864
US1.IBM,60,20120709,210000,188.5500000,189.1600000,188.4600000,188.9200000,73710
US1.IBM,60,20120709,220000,188.9300000,189.8400000,188.9100000,189.6800000,71331
US1.IBM,60,20120709,230000,189.6800000,189.6800000,189.1700000,189.5200000,77184
US1.IBM,60,20120710,000000,189.5300000,189.9800000,189.4400000,189.6400000,66770
