<TICKER>,<PER>,<DATE>,<TIME>,Open,High,Low,Close,Volume
US1.INTC,60,20120614,010000,26.5400000,26.5450000,26.5350000,26.5400000,731558
US1.INTC,60,20120614,180000,26.5800000,26.7900000,26.4200000,26.7400000,344026
US1.INTC,60,20120614,190000,26.7400000,26.9500000,26.7300000,26.8700000,724709
US1.INTC,60,20120614,200000,26.8700000,26.8800000,26.7200000,26.7500000,466382
US1.INTC,60,20120614,210000,26.7500000,26.8300000,26.7450000,26.7900000,284945
US1.INTC,60,20120614,220000,26.7900000,26.8600000,26.7500000,26.8250000,315682
US1.INTC,60,20120614,230000,26.8250000,26.8550000,26.7550000,26.7750000,502958
US1.INTC,60,20120615,000000,26.7700000,27.0550000,26.7600000,26.9800000,1643690
US1.INTC,60,20120615,010000,26.9500000,26.9800000,26.9500000,26.9800000,400
US1.INTC,60,20120615,180000,26.9800000,27.1500000,26.8800000,27.0800000,346467
US1.INTC,60,20120615,190000,27.0900000,27.2750000,27.0800000,27.2700000,483576
US1.INTC,60,20120615,200000,27.2700000,27.2800000,27.1900000,27.2100000,356524
US1.INTC,60,20120615,210000,27.2200000,27.2900000,27.1600000,27.2900000,364310
US1.INTC,60,20120615,220000,27.2900000,27.3800000,27.2550000,27.3400000,457636
US1.INTC,60,20120615,230000,27.3400000,27.4200000,27.3300000,27.3500000,289560
US1.INTC,60,20120616,000000,27.3450000,27.4400000,27.3100000,27.3200000,1174162
US1.INTC,60,20120616,010000,27.3500000,27.3500000,27.3400000,27.3400000,7073183
US1.INTC,60,20120618,180000,27.2900000,27.5400000,27.2500000,27.5300000,252617
US1.INTC,60,20120618,190000,27.5400000,27.6000000,27.4600000,27.4850000,539715
US1.INTC,60,20120618,200000,27.4800000,27.4950000,27.3600000,27.4800000,794027
US1.INTC,60,20120618,210000,27.4750000,27.5100000,27.4350000,27.4550000,372340
US1.INTC,60,20120618,220000,27.4600000,27.5600000,27.4250000,27.5600000,335071
US1.INTC,60,20120618,230000,27.5600000,27.5750000,27.4200000,27.4450000,311523
US1.INTC,60,20120619,000000,27.4500000,27.4900000,27.4000000,27.4300000,577595
US1.INTC,60,20120619,010000,27.4200000,27.4200000,27.4200000,27.4200000,2199342
US1.INTC,60,20120619,180000,27.5900000,27.6000000,27.2500000,27.4250000,400995
US1.INTC,60,20120619,190000,27.4200000,27.4700000,27.3650000,27.4100000,560282
US1.INTC,60,20120619,200000,27.4150000,27.6300000,27.4150000,27.6000000,534334
US1.INTC,60,20120619,210000,27.5950000,27.6300000,27.5350000,27.5750000,273758
US1.INTC,60,20120619,220000,27.5750000,27.5800000,27.4800000,27.5300000,440923
US1.INTC,60,20120619,230000,27.5300000,27.5400000,27.4200000,27.5000000,445252
US1.INTC,60,20120620,000000,27.5000000,27.5800000,27.4600000,27.5200000,678358
US1.INTC,60,20120620,010000,27.5100000,27.5100000,27.5100000,27.5100000,1267310
US1.INTC,60,20120620,180000,27.4900000,27.6400000,27.3800000,27.5050000,254667
US1.INTC,60,20120620,190000,27.5100000,27.5700000,27.4650000,27.4700000,432348
US1.INTC,60,20120620,200000,27.4750000,27.5900000,27.4400000,27.5500000,339844
US1.INTC,60,20120620,210000,27.5600000,27.6800000,27.4450000,27.6700000,556046
US1.INTC,60,20120620,220000,27.6700000,27.7500000,27.6250000,27.7000000,279493
US1.INTC,60,20120620,230000,27.6950000,27.7400000,27.5150000,27.6000000,345387
US1.INTC,60,20120621,000000,27.6000000,27.6600000,27.5000000,27.6500000,577668
US1.INTC,60,20120621,010000,27.6400000,27.6400000,27.6400000,27.6400000,43679
US1.INTC,60,20120621,180000,27.5100000,27.5900000,27.3000000,27.3500000,459048
US1.INTC,60,20120621,190000,27.3450000,27.4900000,27.2100000,27.3800000,560660
US1.INTC,60,20120621,200000,27.3850000,27.4000000,27.1200000,27.1750000,655027
US1.INTC,60,20120621,210000,27.1750000,27.1800000,26.9000000,26.9350000,729146
