<TICKER>,<PER>,<DATE>,<TIME>,Open,High,Low,Close,Volume
US1.MSFT,60,20120614,010000,29.1300000,29.1400000,29.1300000,29.1300000,1093895
US1.MSFT,60,20120614,180000,29.3000000,29.3300000,28.8900000,29.0500000,684444
US1.MSFT,60,20120614,190000,29.0400000,29.3150000,29.0200000,29.2900000,1042979
US1.MSFT,60,20120614,200000,29.2950000,29.3900000,29.2650000,29.3100000,622443
US1.MSFT,60,20120614,210000,29.3100000,29.3450000,29.2300000,29.3000000,377748
US1.MSFT,60,20120614,220000,29.3000000,29.3700000,29.2100000,29.2900000,412028
US1.MSFT,60,20120614,230000,29.2900000,29.3100000,29.0900000,29.1000000,395049
US1.MSFT,60,20120615,000000,29.0900000,29.4600000,29.0900000,29.3500000,1784551
US1.MSFT,60,20120615,010000,29.3300000,29.3400000,29.3300000,29.3400000,677931
US1.MSFT,60,20120615,180000,29.5500000,29.8700000,29.5000000,29.8700000,604154
US1.MSFT,60,20120615,190000,29.8700000,29.9450000,29.8300000,29.9200000,831503
US1.MSFT,60,20120615,200000,29.9200000,29.9750000,29.8700000,29.9450000,602322
US1.MSFT,60,20120615,210000,29.9400000,29.9600000,29.8650000,29.9050000,404875
US1.MSFT,60,20120615,220000,29.9050000,29.9800000,29.9050000,29.9800000,425039
US1.MSFT,60,20120615,230000,29.9900000,30.0750000,29.9250000,29.9700000,716940
US1.MSFT,60,20120616,000000,29.9700000,30.0500000,29.9350000,30.0200000,1952943
US1.MSFT,60,20120616,010000,30.0200000,30.0200000,30.0200000,30.0200000,5520351
US1.MSFT,60,20120618,180000,30.0000000,30.0100000,29.7100000,29.8200000,566936
US1.MSFT,60,20120618,190000,29.8300000,30.0250000,29.7950000,29.9600000,1355164
US1.MSFT,60,20120618,200000,29.9700000,29.9800000,29.8050000,29.8700000,764426
US1.MSFT,60,20120618,210000,29.8600000,29.8600000,29.7500000,29.7850000,526539
US1.MSFT,60,20120618,220000,29.7850000,29.8650000,29.7300000,29.8450000,563599
US1.MSFT,60,20120618,230000,29.8450000,29.8850000,29.7900000,29.8150000,364702
US1.MSFT,60,20120619,000000,29.8150000,29.8400000,29.7250000,29.8400000,1082652
US1.MSFT,60,20120619,010000,29.8400000,29.8400000,29.8400000,29.8400000,6521688
US1.MSFT,60,20120619,180000,30.1850000,30.8000000,30.0500000,30.7700000,1390903
US1.MSFT,60,20120619,190000,30.7700000,31.0600000,30.7450000,31.0400000,2250379
US1.MSFT,60,20120619,200000,31.0400000,31.1050000,30.9200000,30.9750000,1008171
US1.MSFT,60,20120619,210000,30.9750000,31.0200000,30.8500000,30.9400000,852083
US1.MSFT,60,20120619,220000,30.9400000,31.0050000,30.8900000,30.9300000,787904
US1.MSFT,60,20120619,230000,30.9300000,30.9400000,30.6800000,30.7400000,947621
US1.MSFT,60,20120620,000000,30.7400000,30.8050000,30.6500000,30.6800000,1183022
US1.MSFT,60,20120620,010000,30.6650000,30.7000000,30.6650000,30.7000000,2491551
US1.MSFT,60,20120620,180000,30.9300000,30.9900000,30.6400000,30.7600000,461055
US1.MSFT,60,20120620,190000,30.7550000,30.8100000,30.6900000,30.8000000,674426
US1.MSFT,60,20120620,200000,30.8100000,31.0500000,30.8050000,30.9700000,911284
US1.MSFT,60,20120620,210000,30.9750000,30.9850000,30.6500000,30.9650000,804882
US1.MSFT,60,20120620,220000,30.9650000,31.0500000,30.8900000,30.9700000,433124
US1.MSFT,60,20120620,230000,30.9750000,31.0100000,30.7300000,30.8000000,589670
US1.MSFT,60,20120621,000000,30.8000000,30.9200000,30.6500000,30.9200000,795697
US1.MSFT,60,20120621,010000,30.9300000,30.9300000,30.9300000,30.9300000,1110327
US1.MSFT,60,20120621,180000,30.9600000,31.1300000,30.8700000,30.8900000,444861
US1.MSFT,60,20120621,190000,30.8800000,30.9800000,30.6600000,30.8950000,978345
US1.MSFT,60,20120621,200000,30.9000000,30.9200000,30.6200000,30.6700000,768652
US1.MSFT,60,20120621,210000,30.6750000,30.6900000,30.3950000,30.4650000,660188
US1.MSFT,60,20120621,220000,30.4650000,30.5050000,30.3500000,30.4400000,481522
US1.MSFT,60,20120621,230000,30.4300000,30.4300000,30.2700000,30.3100000,454991
US1.MSFT,60,20120622,000000,30.3050000,30.3200000,30.0600000,30.1300000,1365822
US1.MSFT,60,20120622,010000,30.1300000,30.1350000,30.1300000,30.1350000,1914
US1.MSFT,60,20120622,180000,30.3500000,30.3900000,30.0600000,30.2300000,339523
US1.MSFT,60,20120622,190000,30.2350000,30.3000000,30.0300000,30.1750000,524758
US1.MSFT,60,20120622,200000,30.1700000,30.3400000,30.1700000,30.3300000,455044
US1.MSFT,60,20120622,210000,30.3300000,30.3600000,30.2700000,30.3400000,320287
US1.MSFT,60,20120622,220000,30.3450000,30.4800000,30.3450000,30.4600000,403840
US1.MSFT,60,20120622,230000,30.4650000,30.6000000,30.4200000,30.5700000,493712
US1.MSFT,60,20120623,000000,30.5800000,30.7300000,30.4450000,30.6900000,1708582
US1.MSFT,60,20120623,010000,30.6400000,30.7000000,30.6400000,30.7000000,176395
US1.MSFT,60,20120625,180000,30.3200000,30.3200000,30.0400000,30.1300000,494500
US1.MSFT,60,20120625,190000,30.1250000,30.1750000,29.8300000,29.8800000,880927
US1.MSFT,60,20120625,200000,29.8850000,29.9300000,29.7000000,29.7500000,667526
US1.MSFT,60,20120625,210000,29.7450000,29.8600000,29.7300000,29.8250000,377365
US1.MSFT,60,20120625,220000,29.8250000,29.8800000,29.7600000,29.7819000,399167
US1.MSFT,60,20120625,230000,29.7900000,29.8000000,29.6200000,29.6900000,716175
US1.MSFT,60,20120626,000000,29.6900000,29.8850000,29.6900000,29.8400000,1008119
US1.MSFT,60,20120626,010000,29.8400000,29.8800000,29.8400000,29.8650000,3579748
US1.MSFT,60,20120626,180000,30.0000000,30.2600000,29.9800000,30.1400000,659471
US1.MSFT,60,20120626,190000,30.1400000,30.2600000,30.0700000,30.1300000,812595
US1.MSFT,60,20120626,200000,30.1300000,30.2300000,29.9500000,30.0650000,708906
US1.MSFT,60,20120626,210000,30.0650000,30.1200000,30.0000000,30.0150000,553958
US1.MSFT,60,20120626,220000,30.0200000,30.0450000,29.9400000,30.0300000,376835
US1.MSFT,60,20120626,230000,30.0400000,30.1200000,29.9900000,30.0600000,535785
US1.MSFT,60,20120627,000000,30.0500000,30.1350000,30.0100000,30.0100000,835144
US1.MSFT,60,20120627,010000,30.0350000,30.0400000,29.9900000,30.0200000,1684460
US1.MSFT,60,20120627,180000,30.1900000,30.5000000,30.0700000,30.1000000,407686
US1.MSFT,60,20120627,190000,30.1050000,30.4400000,30.0800000,30.2550000,731472
